Restaurant Name,Website Link,City:,Neighborhood/Area,Cuisine Type,What do you love about this place?,"What are your ""Must Have"" recommendations""?",Reservation needed/required?,How far in advance do we need to plan?,Price Range
Rite Spot Cafe,ritespotcafe.net,San Francisco,Mission ,Italian,Super local spot with live music every night! It’s an interesting of white table cloth Italian/dive bar. Affordable pricing on solid pasta dishes and super friendly bartenders. You’ll definitely hear some stories about old SF. ,"Popcorn Chicken happy meal, Brussels sprouts and the meatballs! ",Walk-in only/no reservations,"No need, just get there a bit before the show starts before all the locals take the good tables! ",$$ - $21-$50
Chris & Sons Roti Shop and Bakery,https://www.instagram.com/chrisandsonsrotishop/?hl=en,NYC,"Hollis, Queens",Trinidadian,"Good local spot for Caribbean eats (curry, roti, trini pastries, etc.).",Curry chicken roti,Just pull up!,N/A,$ - $0-$20
Om Sabor,https://omsabor.com/,San Francisco,Hayes Valley,"Vegan, Latin","Best vegan food in the city, super creative and tasty, nicest chefs, under the radar.","The menu changes but if they have the crab cakes or hibiscus tacos, absolutely get both.",Just pull up!,,$$ - $21-$50
Tahona Mercado,https://tahonamercado.com/,San Francisco ,Nob Hill,Mexican ,Specialty grocer/bottle shop that also sells delicious tacos/tortas with counter seating ,Best carnitas in SF; mushroom taco ,Just pull up!,N/A but tortas sell out early ,$ - $0-$20
Black Horse London Pub,mariewfawcett@gmail.com,San Francisco ,Cow Hollow,"Pub, bar food ","I love the hilarious owner, regulars, rowdy and welcoming in a teeny tiny space. Old school SF ",Alcohol in a brown paper bag ,"No reservations, but gets full",N/A,$$ - $21-$50
Tommy’s Mexican Restaurant ,tommysmexican.com,San Francisco,Outer Richmond,Mexican,"Hands down best chips/salsa and tequila selection in the city. Family owned for over 50 years and original Tommy’s Margarita. Great vibe. If you’re feeling tough try their spicy tequila challenge, but be warned now it’s 🔥🔥",Chips and salsa. Tommy’s Marg. Yucatán Tamale,Just pull up!,,$$ - $21-$50
Eyval,https://www.eyvalnyc.com/,New York ,Bushwick,Persian ,"It’s a great mix of traditional and modern takes on Persian food - accessible to the yts and non Persians, and ~* trendy enough to entice folks to try something new ","Kashke Bademjan , masto musir for apps. Kabob koobideh and the lamb ribs for entrees. Try ghormeh sabzi too and don’t forget to ask for the tadig (crispy rice) in case they have any available !","Not required, but recommended",Literally weeks for prime reservation slots  - put on resy notifications! ,$$$ - $51-$100
Limón,limonrestaurants.com,San Francisco ,Mission in SF,Peruvian,"Amazing for groups, fantastic Peruvian food (ceviche, empanadas,) also rotisserie chicken and truffle mac. Super quick and great service every time!","Sangria, half chicken, truffle Mac & cheese, ceviche","Not required, but recommended",,$$ - $21-$50
Pho 2000,pho2000.net,San Francisco,Tenderloin,Vietnamese ,"Amazinggg Pho! Cute vibe, worth the Tenderloin trip!",Beef or chicken pho is delicious!,Walk-in only/no reservations,Expect to wait 15 min or so if you go at a busy time (aka a weekend meal time),$ - $0-$20
Kezar Pub,thekezarpub.shop,San Francisco,Haight-Ashbury,Pub food,"Right near Golden Gate Park, great bar/pub. But HAVE to get the buffalo wings.","Buffalo wings, best in SF!",Just pull up!,,$$ - $21-$50
Kayo’s Ramen Bar,https://kayosramen.com/,Portland,Northeast,Japanese,This place brought me out of Oregon seasonal depressive disorder in the depths of PWN winter. I used to drive 2 hours for this ramen in college. Great location and cute shopping around it too. ,The tan tan broth with pork helped my frontal lobe fully develop. Honorable mention for the Japanese tacos. ,"Not required, but recommended",,$ - $0-$20
Homeroom,https://www.homeroom510.com/,Oakland,Mosswood/Temescal,American,Tons of variations on a classic dish everyone loves. ,Gilroy Garlic Mac ,Just pull up!,,$ - $0-$20
Cafe Romanat ,https://maps.app.goo.gl/nbaiJWN53xo1kHaQ8?g_st=ic,Oakland ,Grand Lake,Ethiopian/Eritrean ,The food is so authentic and hasn’t charged the last 10 years. Family owned and operated.,Quanta Firfir,Just pull up!,,$$ - $21-$50
Soothr,https://www.soothrnyc.com/,New York ,Lower east,Thai,,"Beef ribs,","Yes, required",,$$ - $21-$50
Pio Pio,https://www.piopio.shop/,New York ,Manhattan,Peruvian,Incredible chicken. Truly some of my favorite in the world. ,1/2 chicken with rice and beans,Just pull up!,,$$ - $21-$50
Eiji,NA,San Francisco,Castro,Japanese,"Small, hole in the wall Japanese place in the Castro that is cozy and inviting!",The sushi is fine but the homemade tofu is TO DIE FOR -- I feel that their main dishes that aren't sushi are the realm winners.,Walk-in only/no reservations,,$$ - $21-$50
El Gallo Giro Food Truck,NA,San Francisco,Mission,Mexican,The people that run this truck are so kind and the tacos are the best in the city.,Carnitas and carne asada tacos are always winners.,Just pull up!,The truck sets up at 23rd and Treat M-F until 5pm and can be a bit elusive.,$ - $0-$20
Gus' Market,https://gussmarket.com/,San Francisco,"Mission, Outer Sunset",Sandwich,"Gus' is a local market with spots around the city, but they have really good sandwiches if you're looking for something quick!",The 1906 sandwich on Dutch Crunch is something I dream about. DO NOT ORDER FROM THE HAIGHT LOCATION -- something ain't right there wrt the sandos.,Just pull up!,,$ - $0-$20
Pho 2000,http://pho2000.net/,San Francisco,Tenderloin,Vietnamese,"Hole in the wall, but the pho is amazing and it's open for breakfast if you're into that!",Phở Tái or Phở Tái nạm,Walk-in only/no reservations,,$ - $0-$20
Rossi's Deli,http://www.rossisdeli.net/,San Francisco,Castro,Middle Eastern,Great deli in the Castro with super funny people running the counter who WILL JUDGE YOU IF YOU DO NOT ORDER SPICY.,Falafel deluxe sandwich SPICY -- they WILL judge you openly if you do not get it spicy (it's not too hot).,Just pull up!,,$ - $0-$20
Judahlicious,http://www.judahlicious.com/,San Francisco,Outer Sunset,"Californian, Vegan","Super small, but quick with the orders. Everything is vegan, but you wouldn't guess it. ",No shirt no shoes or half nekked burrito,Just pull up!,,$ - $0-$20
S’mac,https://www.eatsmac.com/,Manhattan,East Village,American,The food- according to my bf “order anything and it’s going to be great”,"We get the vegan options (the “nosh” size is filling but go for the “major munch” if you’re hungry) his order- mac and cheese, breadcrumbs, garlic and beef; her order: mac and cheese, extra breadcrumbs, parsley, rosemary and garlic ",Just pull up!,N/A,$ - $0-$20
Empanada Mama,https://www.empanadamama.com/hells-kitchen,Manhattan,Hell’s Kitchen,"Colombian, Latin",THE FOOD IS SO GOOD,"Wheat Empanadas - Viagra, Brasil; Corn Empanada - Portobello; LENTIL SOUP WITH AVOCADO. GREEN SAUCE IS A REQUIREMENT FOR THE EMPANADAS!! The churros are great too if you have space. We usually get a few of each empanada",Just pull up!,NA,$ - $0-$20
Taqueria San Bruno,taqueriasanbruno.net,San Bruno,San bruno,Mexican,"This is the best al pastor I have had in my life as a Mexican American who has been to Mexico many times and lived in both the bay and LA. You will wait over 20 min for food, it’s on a street with nothing but warehouses but it’s so worth it. There are always people there and it’s amazing to buy a beer and wait at a table or hell, just in your car or on the curb for this food. I wish it were nearer so I could go every week.",AL PASTOR,Just pull up!,Just make sure theyre open!,$ - $0-$20
OSHA Thai ,https://oshathai.com/embarcadero/,San Francisco ,Embarcadero/FIDI,Thai,"You’re in FiDi or Embarcadero, you need something yummy, not fancy but still a good atomosphere and proper service. It’s like Goldilocks’ porridge, hard to find something that fits all of these boxes but OSHA is IT. Plus it’s delicious Thai in a city that needs more delicious Thai. ","Pumpkin curry, pad Thai sunrise, all the appetizers, fresh coconut ",Just pull up!,No planning which is part of why it’s awesome ,$$ - $21-$50
The Morris,https://themorris-sf.com/,San Francisco,Mission,French Californian,Vibes are immaculate. Wine list is sensational. Menu is unique and well executed.,Off-menu burger and the duck.,"Not required, but recommended",One week,$$$$ - $101 -$1000
Uva Enoteca,https://www.uvaenoteca.com/menu/,San Francisco ,Lower Haight,Italian ,"The food is great and the owner Antonio is so friendly and welcoming, he always has great suggestions and tells you all about where he’s sourced ingredients. Great for a full dinner or afternoon glass of wine at the bar, you’ll usually get a few snacks thrown in. ",The pasta and apps never miss,Just pull up!,,$$ - $21-$50
Kibatsu,https://www.kibatsusushi.com/,San Francisco ,Lower haight ,Japanese ,"The coziest little restaurant, everyone is so friendly and the sushi is delightful and very well priced for the quality. ",Nigiri ,"Not required, but recommended",If there’s two of you you can pretty much always walk in. Make a res for bigger groups. ,$$$ - $51-$100
Dancing Yak,https://dancingyaksf.com/,San Francisco,Mission,Nepalese,Incredible food and cocktails! Great for small group dinners and they have a big back room for private events. ,Kale Chaat!,"Not required, but recommended",Not far,$$ - $21-$50
El Chato,https://www.elchatosf.com/,San Francisco,Mission,Spanish,"Great vibes for a casual hang with friends. Order a bottle of wine, tapas, and hang out for a while. Often has live music too.",Try a vermouth! Also can’t go wrong with some Jamon and Pan con Tomate,Just pull up!,,$$ - $21-$50
Cha Cha Cha,https://www.chachachasf.com/,San Francisco,Haight,Cuban/Caribbean ,"The sauces are world-class, the sangria is glorious. The decor is gaudy and unique.","Cajun shrimp, Chicken Pillard, warm spinach salad, plantains ",Walk-in only/no reservations,,$$ - $21-$50
Cordon Bleu Vietnamese Restaurant,NA,San Francisco,Nob Hill,Vietnamese,Wellllll - I went here hundred times and it was choice,Honsestly don’t remember - but the lady who owns this will sort you,Just pull up!,Nada nada limonada,$$ - $21-$50
Yuanbao Jiaozi,https://yuanbaojiaozisf.com/,San Francisco,Inner Sunset,Chinese,"Handmade, SUPER fresh dumplings. Small menu with all items elite. Also they sell most of dumplings frozen to go so you can cook them later",The classic pork dumpling,Walk-in only/no reservations,,$ - $0-$20
Che Fico,https://www.chefico.com/,San Francisco,NOPA,California-Italian,"Highly suggest if you want comfort food paired with a good wine selection. The open space kitchen and high ceiling layout makes me feel like I’m visiting a family cabin, with meals coming straight out of a wood fired oven","Focaccia w/ whipped mascarpone, Polpo (octopus), Pizza: Amatriciana and Zucca (they also have pineapple pizza), Lasagna, Angelo Arosto (lamb)","Not required, but recommended",~A month,$$$ - $51-$100
Third Culture Bakery,http://www.thirdculturebakery.com/,Berkeley,West Berkeley,Asian fusion mochi desserts,Mochi donuts. This is my stop when I want something sweet and comforting after a long week. Bonus points to the staff who has given me free donuts in the past. ,The black sesame mochi donut and the matcha latte,Just pull up!,N/A,$ - $0-$20
East Bay Spice,https://eastbayspiceco.com/?utm_source=google,Berkeley,Downtown Berkeley,Indian,"The flavorful and strong cocktails, the dark and sexy ambience, and the great playlist. I suggest this spot for catching up with a friend or for date night.",Get the “Mango Daddy” cocktail if you like ginger and citrus forward cocktails—this one is Smokey because of mezcal. Save room for the tikka masala flatbread.,Walk-in only/no reservations,N/A,$$ - $21-$50
Palawan,https://pakwanrestaurant.com/,San Francisco,Mission District,Pakistani and Indian,"The flavor, spice, and portion sizes. Great place to go when you’re really hungry or after getting drinks in the mission.","Saag paneer, chicken biryani, and chicken tikka masala",Walk-in only/no reservations,Walk-in only/no reservations,$$ - $21-$50
Yuanbao Jiaozi,yuanbaojiaozisf.com,San Francisco,Outer Richmond ,Chinese ,DUMPLINGS!!! ,Any dumplings. And beef noodle soup ,Just pull up!,,$ - $0-$20
Happy family gourmet,happyfamilygourmetca.com,San Francisco,Outer Sunset,Chinese,"FOOD! Very much a local spot, no frills. Incredible food. Cannot stress enough. ",Xian cold noodles are an absolute must order. ,Just pull up!,,$ - $0-$20
Manchego ,https://manchegokoko.com/,Brooklyn,Ditmas Park,Japanese/Spanish Tapas,"This is the go to neighborhood spot that your new girlfriend, mom, and rowdy best friend will love! The combinations shouldn’t make sense- deep broth ramen and charred octapus on the same menu is a lot. But like the melting pot that is Ditmas Park/ Flatbush, this restaurant recognizes that one thing unites us all- flavor! Everything hits in your mouth and wants you to take that second bite. Also the drinks are neighborhood level strong. ","Chorizo, sangria, ramen ",Just pull up!,,$$ - $21-$50
Taqueria el buen sabor,https://maps.app.goo.gl/AtyY97ipCLhvzxnd8?g_st=ipc,San Francisco ,Mission ,Mexican ,"I’ve lived in San Francisco my entire life aside from college and I’ve been getting the burritos here the entire time. It’s a sleeper because people think if it’s on Valencia, it must be a yuppie location, but I’ll be honest. They have the softest flower tortillas, the ratios of ingredients are insane, they crisp up the Carnitas like no one else, I can’t recommend this place enough. And if the two sauces they have on offer aren’t spicy enough for your liking, ask for the “taco Salsa“",Carnitas burrito,Just pull up!,,$ - $0-$20
Dolores Deluxe,http://www.doloresdeluxe.com/,San Francisco,Mission / Noe,Deli / sandwiches,"Unassuming corner store with amazing gourmet sandwiches, pastries, and prepared food, and super nice staff",Call Me Serge,Walk-in only/no reservations,,$ - $0-$20
El Gallo Giro ,NA,San Francisco,Mission,Mexican,Lunch-only food truck probably has the best tacos and burritos in the Mission. ,Carnitas,Just pull up!,,$ - $0-$20
Rite Spot,http://www.ritespotcafe.net/,San Francisco,Mission,Dive Bar / Italian,"One of the most unique vibes of any places in SF. Combo dive bar / white tablecloth italian restaurant (food is just so-so), ecletic live music every night, ecletic local crowd of regulars.",Dive bar stuff / basic food,Walk-in only/no reservations,,$$ - $21-$50
Ravagh persian grill,https://www.ravaghrestaurants.com/,NYC,Upper east side,Persian,"Great appetizers and entrees, good for large groups, not hard to get in","Barg kebob, koobideh kebob",Reservations recommended for weekends,,$$ - $21-$50
Huda,https://hudabrooklyn.com/,New York City,East Williamsburg,“New Levantine”,"Delicious small plates with a menu that changes often (and is always amazing). Cozy in the winter, sidewalk seating in the summer, not fussy! Also great for an event - did a birthday dinner here for 20 and it was so easy and perfect. ","Sour cherry meatballs, batata harra. (Strangely, skip the charred eggplant)","Not required, but recommended",,$$ - $21-$50
Traif,https://traifny.com/,New York City,Williamsburg,Meat-forward American,"They have a set menu that is the best value in NYC. it’s like $60, you get a ton of dishes, and they’re all amazing. Cute little back garden in the summer. I always take out of town visitors here, and you can usually get in on pretty short notice. ","Strawberry ribs, beignets, but really do the set menu and let them guide you","Yes, required",A few days,$$$ - $51-$100
Istanbul Clinton Hill Mediterranean Gyro & Grill,https://www.istanbulclintonhill.com/,Nyc,Clinton Hill,Turkish,"Family owned, friendly staff, generous portion sizes",Chicken Adana Kebab,Just pull up!,,$ - $0-$20
Harts,https://www.hartsbrooklyn.com/,NYC,Crown Heights,"Mediterranean, New American","Small, cozy, friendly neighborhood spot -- perfect for a chilly night","Menu rotates but a constant is the lamb burger -- add the optional anchovies, trust me","Not required, but recommended",A couple days,$$ - $21-$50
L'artusi,https://www.lartusi.com/,NYC,West Village,Italian,"Love sitting at the long bar -- this place used to be trendier, but is still has great good & a great vibe IMO",I'm a sucker for Cacio e Pepe,"Not required, but recommended",A couple days,$$$ - $51-$100
Cafe Rue Dix,https://www.ruedixbrooklyn.com/cafe,NYC,Crown Heights,Senegalese,"A very casual, very delicious, no frills spot",They probably have my most ordered burger in the city + their overripe plantains are the only ones that hold a candle to my mother's,"Not required, but recommended","Pretty chill, lots of openings every day",$$ - $21-$50
Yemenat,https://www.yemenat.rest/,New York City,"Bay Ridge, Brooklyn",Yemeni,"The BEST Yemeni in the city hands down. No frills, but their dishes are consistently excellent. Authentic, reasonably priced, and a great group trek so you can try all the great dishes","Shafoot, muva fish, beef fahsa, lamb haneeth",Just pull up!,,$$ - $21-$50
